C1-Modification,C1_stereo_donor,C2-Modification,d_2_stereo,d_3_sub,d_4_sub,C4_stereo_donor,C6_Modification,RRV,C1_Modification-a,C1_stereo_acceptor,a_2_sub,C3_Modification_a,C4-Modification_a,C6-Modification_a,Alcohol_position,Alcohol_type,Aka,temperature,Solvent,Concentartion,Stoichiometery,promoter,a-ratio
x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,y1
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,25 ℃,DCM,0.167M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,23
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,45
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,45
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,47
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,78
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,THF,0.167M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,47
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,38
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,20
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,41
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,85
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,70
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,Toluene,0.167M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,18
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,40
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,26
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,40
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,62
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,69
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/ACN,0.167M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,Trace
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,76
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,73
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/DMF,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,33
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,45
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,38
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,45
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,78
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,47
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM/p-Dioxane,0.167M,1:1.5,NIS_TfOH,No Reaction
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,11
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,24
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,0
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,No Reaction
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,59
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,71
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.308M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,27
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,27
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,66
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,18
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,55
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,71
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.051M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,13
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,40
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,83
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,20
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,55
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,71
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.036M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,12
STol,b,OBn,equatorial,OBn,OBn,axial,OBn,17000,-,-,-,-,-,-,1_OH,tertiary,80,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,27
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,91
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,19
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,52
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,62
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.018M,1:1.5,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,0
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,21
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,30
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,100
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,77
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,100
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,100
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,33
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,33
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,91
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,92
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,35
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,33
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,78
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,83
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,34
STol,b,OBn,equatorial,OBn,OBn,equatorial,OBn,2656,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,75
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,77
STol,a,H,equatorial,OBn,OBn,equatorial,OBn,1000000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:0.66,NIS_TfOH,91
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,N3,equatorial,OBn,OBn,equatorial,OBn,270,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,1,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,primary,100,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OH,OBn,4_OH,secondary,3.51,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,OMe,a,OBn,OBn,OBn,OH,6_OH,primary,7.16,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
STol,b,OBn,equatorial,OBn,OBn,axial,CH3,72000,-,-,-,-,-,-,1_OH,Secondary,1.36,-40 ℃,DCM,0.167M,1:1.5,IDCP,No Reaction
